2026-06-30 11:23:23,hugo.neto,Admissão
2026-06-30 11:23:39,hugo.neto,Evolução
2026-06-30 11:24:19,marcela.alves,Admissão
2026-06-30 11:24:48,marcela.alves,Evolução
2026-06-30 11:33:42,hugo.neto,Admissão
2026-06-30 11:35:29,medico.teste,Admissão
2026-06-30 11:35:41,medico.teste,Admissão
2026-06-30 11:35:59,medico.teste,Admissão
2026-06-30 11:36:10,medico.teste,Evolução
2026-06-30 11:36:21,medico.teste,Evolução
2026-06-30 11:36:42,marcela.alves,Admissão
2026-06-30 11:36:57,marcela.alves,Admissão
2026-06-30 11:37:10,marcela.alves,Evolução
2026-06-30 11:37:19,marcela.alves,Evolução
2026-06-30 11:37:53,marcela.alves,Admissão
2026-06-30 11:38:05,marcela.alves,Admissão
2026-06-30 11:39:54,hugo.neto,Admissão
2026-06-30 11:40:19,hugo.neto,Admissão
2026-06-30 11:40:37,hugo.neto,Admissão
2026-06-30 11:40:48,hugo.neto,Admissão
2026-06-30 11:40:58,hugo.neto,Admissão
2026-06-30 11:41:03,hugo.neto,Admissão
2026-06-30 11:43:29,medico.teste,Admissão
2026-06-30 12:51:09,hugo.neto,Admissão
2026-06-30 12:51:24,hugo.neto,Admissão
2026-06-30 12:51:59,hugo.neto,Admissão
2026-06-30 12:54:48,hugo.neto,Admissão
2026-06-30 12:55:01,hugo.neto,Admissão
2026-06-30 12:55:20,hugo.neto,Evolução
2026-06-30 13:06:56,medico.teste,Admissão
2026-06-30 13:07:12,medico.teste,Admissão
2026-06-30 13:07:24,medico.teste,Admissão
2026-06-30 13:07:48,hugo.neto,Admissão
2026-06-30 13:08:04,hugo.neto,Admissão
2026-06-30 13:08:19,hugo.neto,Admissão
2026-06-30 13:10:02,hugo.neto,Evolução
2026-06-30 13:10:16,hugo.neto,Evolução
2026-06-30 13:10:54,hugo.neto,Admissão
2026-06-30 13:12:01,marcela.alves,Admissão
2026-07-01 07:50:49,hugo.neto,Evolução
2026-07-01 07:52:27,hugo.neto,Evolução
2026-07-01 07:54:06,hugo.neto,Evolução
2026-07-01 07:54:23,hugo.neto,Evolução
2026-07-01 07:54:36,hugo.neto,Evolução
2026-07-01 07:55:00,hugo.neto,Admissão
